eto_lead_whatsapp_feedback_response_id,feedback_date,feedback_modref_id,feedback_modref_type,feedback_remarks,fk_buyer_glusr_usr_id,fk_eto_lead_whatsapp_template_id,fk_supplier_glusr_usr_id,im_whatsapp_msg_sent_date,response_flag
2145,02/07/24 10:17,107056276846.0,1.0,Not Satisfied,13707296.0,11.0,,02/07/24 10:17,-234.0
2148,02/07/24 10:16,107058822663.0,1.0,Satisfied,12676403.0,11.0,,02/07/24 10:16,111.0
2149,02/07/24 10:11,107056144346.0,1.0,Not Satisfied,117660211.0,11.0,,02/07/24 10:11,-234.0
2152,02/07/24 10:35,107064385163.0,1.0,Not Satisfied,61118496.0,11.0,,02/07/24 10:35,-234.0
2154,02/07/24 10:35,107064385163.0,1.0,Not Satisfied,61118496.0,11.0,,02/07/24 10:35,-234.0
2156,02/07/24 10:35,107064385163.0,1.0,Not Satisfied,61118496.0,11.0,,02/07/24 10:35,-234.0
2160,02/07/24 10:34,107095682395.0,1.0,Not Satisfied,7039000.0,11.0,,02/07/24 10:34,-666.0
2166,02/07/24 10:30,107088182985.0,1.0,Not Satisfied,48988855.0,11.0,,02/07/24 10:30,-234.0
2170,02/07/24 10:30,107091055359.0,1.0,Not Satisfied,58978617.0,11.0,,02/07/24 10:30,-234.0
2173,02/07/24 10:30,107074171834.0,1.0,Satisfied,88450718.0,11.0,,02/07/24 10:30,111.0
2179,02/07/24 10:34,107080063534.0,1.0,Not Satisfied,8264565.0,11.0,,02/07/24 10:34,-234.0
2180,02/07/24 10:21,107080259434.0,1.0,Not Satisfied,223370502.0,11.0,,02/07/24 10:21,-234.0
2184,02/07/24 10:30,107056992575.0,1.0,Not Satisfied,16655587.0,11.0,,02/07/24 10:30,-234.0
2185,02/07/24 10:30,107065195352.0,1.0,Not Satisfied,212379280.0,11.0,,02/07/24 10:30,-456.0
2187,02/07/24 10:30,107091055359.0,1.0,Not Satisfied,58978617.0,11.0,,02/07/24 10:30,-456.0
2189,02/07/24 10:29,107054716475.0,1.0,Satisfied,11004501.0,11.0,,02/07/24 10:29,111.0
